행정동명,평균공시지가,land_price_log
안암동5가,4235652.479608483,15.259048178676613
암사동,3225696.954223775,14.986659904710947
압구정동,14460387.429218572,16.486923636659043
양재동,7431209.414611055,15.821199312525433
양평동,398491.3946587537,12.895443692108715
양평동1가,5102320.157189089,15.445206123015435
양평동2가,4059809.329446064,15.216646813601441
양평동3가,4032199.343283582,15.209822775813299
양평동4가,5001567.878787879,15.425262196938633
양평동5가,4517772.831926324,15.323529915422485
양평동6가,3738188.787483703,15.134112038176317
양화동,614814.472361809,13.329077456826019
여의도동,12085503.07984791,16.307517282449496
역삼동,14120834.8075856,16.463161981449307
역촌동,3276813.9576709964,15.002382459095784
연건동,4971363.271266886,15.419204861665177
연남동,6223764.619316862,15.643885686566529
연지동,6254456.798029557,15.648805015157068
연희동,2842409.530382504,14.86016302843248
염곡동,1570597.010918203,14.26696700347502
염리동,5758419.609281849,15.566173795294985
염창동,3653534.728110599,15.111205949311783
영등포동,3471529.789298586,15.060106204298913
영등포동1가,5405917.954815696,15.503005013996145
영등포동2가,6422245.003028467,15.675278459193237
영등포동3가,13622848.18598098,16.42725902814306
영등포동4가,9924829.67279247,16.110550323716172
영등포동5가,7867769.7476237295,15.878285320753895
영등포동6가,6322586.594911938,15.659639111904296
영등포동7가,5464564.181137214,15.513795112134089
영등포동8가,4899475.312705727,15.404638882411305
영천동,4221075.45357524,15.255600737269459
예관동,9619620.555914674,16.07931548256607
예장동,3146193.642542983,14.961704230534874
예지동,14230951.636258326,16.4709299134513
오곡동,180358.8870880605,12.102709506498345
오금동,5498087.280017821,15.51991100432957
오류동,2568931.5261317715,14.759001011103958
오쇠동,227893.0,12.336635887550655
오장동,7269336.137820513,15.799175667611427
옥수동,3288645.8570368537,15.005986748484315
옥인동,4101441.584582441,15.226849319688032
옥천동,3699833.4092634777,15.123798622359837
온수동,1985535.546875,14.501399736271473
와룡동,6018676.823104694,15.610378162449141
외발산동,1306074.221233312,14.082537183816331
용강동,6719108.2910321485,15.720466157736979
용답동,4001354.0384945865,15.202143621341726
용두동,4259984.289541759,15.26477626508038
용문동,6240196.815089672,15.646522440979306
용산동1가,3443466.019417476,15.05198937628707
용산동2가,4460677.839070315,15.310811518483655
용산동3가,8138370.595382746,15.912100668258832
용산동4가,3477840.579710145,15.06192242360944
