행정동_코드,행정동명,area_km2,집객시설_수,anchor_fac_dens
11620605,은천동,0.78,144.0,184.6153846153846
11620615,중앙동,0.39,810.0,2076.9230769230767
11620625,인헌동,1.08,864.0,800.0
11620630,남현동,3.27,522.0,159.63302752293578
11620645,서원동,0.65,828.0,1273.8461538461538
11620655,신원동,0.55,612.0,1112.7272727272727
11620665,서림동,0.99,936.0,945.4545454545455
11620685,신사동,0.64,1116.0,1743.75
11620685,신사동,1.89,1116.0,590.4761904761905
11620695,신림동,0.54,3186.0,5900.0
11620715,난향동,0.8,234.0,292.5
11620725,조원동,0.67,936.0,1397.0149253731342
11620735,대학동,8.3,1296.0,156.144578313253
11620745,삼성동,2.66,702.0,263.90977443609023
11620765,미성동,1.38,1602.0,1160.8695652173915
11620775,난곡동,0.96,1458.0,1518.75
11650510,서초1동,1.42,5112.0,3600.0
11650520,서초2동,1.24,7110.0,5733.870967741936
11650530,서초3동,2.93,3330.0,1136.518771331058
11650540,잠원동,1.76,3402.0,1932.9545454545455
11650550,반포본동,1.01,162.0,160.3960396039604
11650560,반포1동,1.0,270.0,270.0
11650581,반포4동,1.43,3276.0,2290.909090909091
11650590,방배본동,0.67,1062.0,1585.0746268656715
11650600,방배1동,0.7,1908.0,2725.714285714286
11650610,방배2동,1.93,1836.0,951.2953367875648
11650620,방배3동,2.4,630.0,262.5
11650621,방배4동,0.98,1800.0,1836.734693877551
11650651,양재1동,5.76,1332.0,231.25
11650652,양재2동,7.58,2412.0,318.20580474934036
11650660,내곡동,12.68,486.0,38.32807570977918
11680510,신사동,0.64,4752.0,7425.0
11680510,신사동,1.89,4752.0,2514.285714285714
11680521,논현1동,1.25,6318.0,5054.4
11680531,논현2동,1.47,3798.0,2583.673469387755
11680545,압구정동,2.53,4176.0,1650.5928853754942
11680565,청담동,2.33,5652.0,2425.751072961373
11680580,삼성1동,1.94,1872.0,964.9484536082474
11680590,삼성2동,1.24,3870.0,3120.967741935484
11680600,대치1동,0.79,1422.0,1800.0
11680610,대치2동,2.0,2232.0,1116.0
11680630,대치4동,0.73,5814.0,7964.3835616438355
11680640,역삼1동,2.35,7038.0,2994.8936170212764
11680650,역삼2동,1.15,1026.0,892.1739130434784
11680655,도곡1동,1.02,2574.0,2523.529411764706
11680656,도곡2동,1.02,450.0,441.1764705882353
11680660,개포1동,1.27,0.0,0.0
11680670,개포2동,2.51,828.0,329.8804780876494
11680690,개포4동,1.49,378.0,253.69127516778525
11680700,세곡동,6.36,810.0,127.35849056603773
11680730,일원1동,0.92,882.0,958.695652173913
11680750,수서동,1.43,738.0,516.083916083916
11710510,풍납1동,0.77,468.0,607.7922077922078
11710531,거여1동,0.51,342.0,670.5882352941177
11710532,거여2동,0.53,936.0,1766.0377358490566
11710540,마천1동,0.58,1242.0,2141.379310344828
11710550,마천2동,0.89,648.0,728.0898876404494
11710561,방이1동,0.5,1404.0,2808.0
11710562,방이2동,0.8,5472.0,6840.0
11710570,오금동,1.65,990.0,600.0
11710580,송파1동,0.79,2502.0,3167.0886075949365
11710590,송파2동,0.53,198.0,373.58490566037733
11710600,석촌동,0.95,2934.0,3088.421052631579
11710610,삼전동,0.95,990.0,1042.1052631578948
11710620,가락본동,1.13,2988.0,2644.2477876106195
11710631,가락1동,1.34,576.0,429.8507462686567
11710632,가락2동,0.96,990.0,1031.25
11710641,문정1동,0.56,702.0,1253.5714285714284
11710642,문정2동,2.2,1746.0,793.6363636363636
11710646,장지동,1.37,522.0,381.02189781021895
11710650,잠실본동,0.94,4770.0,5074.468085106383
11710690,잠실4동,1.56,486.0,311.53846153846155
11710710,잠실6동,2.79,2394.0,858.0645161290322
11740515,강일동,2.26,486.0,215.04424778761063
11740520,상일동,,450.0,
11740530,명일1동,0.61,1944.0,3186.8852459016393
11740540,명일2동,0.97,1332.0,1373.1958762886597
11740550,고덕1동,1.51,252.0,166.88741721854305
11740560,고덕2동,2.5,576.0,230.4
11740570,암사1동,1.02,720.0,705.8823529411765
11740580,암사2동,1.18,1098.0,930.5084745762713
11740600,천호1동,0.71,1800.0,2535.211267605634
11740610,천호2동,1.57,4446.0,2831.8471337579617
11740620,천호3동,0.79,720.0,911.3924050632911
11740640,성내1동,0.58,1296.0,2234.4827586206898
11740650,성내2동,0.67,828.0,1235.820895522388
11740660,성내3동,0.71,2142.0,3016.9014084507044
11740685,길동,1.61,4104.0,2549.0683229813662
11740700,둔촌2동,1.56,1008.0,646.1538461538461
